"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:0sf12qNH5qcw8qpgymFOqD","Blinding Lights","spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ","The Weeknd","spotify:album:2ZfHkwHuoAZrlz7RMj0PDz","Blinding Lights","spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ","The Weeknd","2019-11-29","https://i.scdn.co/image/ab67616d0000b273c464fabb4e51b72d657f779a","1","1","201573","https://p.scdn.co/mp3-preview/8999706b82c8271c92b1ad8c1fc2b5f9a9af166f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","spotify:user:2sludgdyak9ttaltqtoqd5a7s","2021-01-04T00:30:44Z"
"spotify:track:1M4qEo4HE3PRaCOM7EXNJq","Adore You","spotify:artist:6KImCVD70vtIoJWnq6nGn3","Harry Styles","spotify:album:5SL9nXZYZZl68bHwaM8uLa","Adore You","spotify:artist:6KImCVD70vtIoJWnq6nGn3","Harry Styles","2019-12-06","https://i.scdn.co/image/ab67616d0000b273da715ed2f440e2f409f58d47","1","1","207133","https://p.scdn.co/mp3-preview/2dbeaa922270b3372d221f09c773a38696aed573?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","spotify:user:2sludgdyak9ttaltqtoqd5a7s","2021-01-04T00:30:44Z"
"spotify:track:6WrI0LAC5M1Rw2MnX2ZvEg","Don't Start Now","spotify:artist:6M2wZ9GZgrQXHCFfjv46we","Dua Lipa","spotify:album:0ix3XtPV1LwmZADsprKxcp","Don't Start Now","spotify:artist:6M2wZ9GZgrQXHCFfjv46we","Dua Lipa","2019-10-31","https://i.scdn.co/image/ab67616d0000b2738583df1a14bea9175f9ac520","1","1","183290","https://p.scdn.co/mp3-preview/ed151225213380a41e5c4af00ff558e25b5875d1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","83","spotify:user:2sludgdyak9ttaltqtoqd5a7s","2021-01-04T00:30:44Z"
"spotify:track:3H7ihDc1dqLriiWXwsc2po","Breaking Me","spotify:artist:0u6GtibW46tFX7koQ6uNJZ, spotify:artist:5Wg2b4Mp42gicxEeDNawf7","Topic, A7S","spotify:album:3nBQlhUvErkw8DVpF47WAn","Breaking Me","spotify:artist:0u6GtibW46tFX7koQ6uNJZ, spotify:artist:5Wg2b4Mp42gicxEeDNawf7","Topic, A7S","2019-12-19","https://i.scdn.co/image/ab67616d0000b273ca801dab96017456b9847ac2","1","1","166793","https://p.scdn.co/mp3-preview/ee2075911af12cbcdac1fe37f15ca536b5c97274?cid=9950ac751e34487dbbe027c4fd7f8e99","false","83","spotify:user:2sludgdyak9ttaltqtoqd5a7s","2021-01-04T00:30:44Z"
"spotify:track:24ySl2hOPGCDcxBxFIqWBu","Rain On Me (with Ariana Grande)","spotify:artist:1HY2Jd0NmPuamShAr6KMms, spotify:artist:66CXWjxzNUsdJxJ2JdwvnR","Lady Gaga, Ariana Grande","spotify:album:4TqgXMSSTwP3RCo3MMSR6t","Rain On Me (with Ariana Grande)","spotify:artist:1HY2Jd0NmPuamShAr6KMms, spotify:artist:66CXWjxzNUsdJxJ2JdwvnR","Lady Gaga, Ariana Grande","2020-05-22","https://i.scdn.co/image/ab67616d0000b273c8583f0bd97d3042d4971acf","1","1","182200","https://p.scdn.co/mp3-preview/e24dd00d94817e3877d7b5d73ea1ffa89f861c2c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","spotify:user:2sludgdyak9ttaltqtoqd5a7s","2021-01-04T00:30:44Z"
"spotify:track:7ce20yLkzuXXLUhzIDoZih","Before You Go","spotify:artist:4GNC7GD6oZMSxPGyXy4MNB","Lewis Capaldi","spotify:album:0488X5veBK6t3vSmIiTDJY","Before You Go","spotify:artist:4GNC7GD6oZMSxPGyXy4MNB","Lewis Capaldi","2019-11-19","https://i.scdn.co/image/ab67616d0000b273f6cda6c81dd1c2d5783fbd2d","1","1","215106","https://p.scdn.co/mp3-preview/04bf5a0ff199c4e80fbdfefbd6baac8923f5154c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","spotify:user:2sludgdyak9ttaltqtoqd5a7s","2021-01-04T00:30:44Z"
"spotify:track:1raaNykBg1bDnWENUiglUA","Break My Heart","spotify:artist:6M2wZ9GZgrQXHCFfjv46we","Dua Lipa","spotify:album:368tzVdeju4vLSY8PHnQUs","Break My Heart","spotify:artist:6M2wZ9GZgrQXHCFfjv46we","Dua Lipa","2020-03-25","https://i.scdn.co/image/ab67616d0000b2738c801003e253e5025c437041","1","1","221820","https://p.scdn.co/mp3-preview/db7293c1d12874c0b4e604999ef04f05b185e5d9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","spotify:user:2sludgdyak9ttaltqtoqd5a7s","2021-01-04T00:30:44Z"
"spotify:track:4wNIkl5XGiAACjFBlDWuSd","What A Man Gotta Do","spotify:artist:7gOdHgIoIKoe4i9Tta6qdD","Jonas Brothers","spotify:album:3SgvmlSsTrMuqICaOTlo0p","What A Man Gotta Do","spotify:artist:7gOdHgIoIKoe4i9Tta6qdD","Jonas Brothers","2020-01-17","https://i.scdn.co/image/ab67616d0000b2737a73cc006248544e1a9882ea","1","1","180644","https://p.scdn.co/mp3-preview/a4dd4e46acf5230e916bcaa1ab15e1f4f7f3b382?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","spotify:user:2sludgdyak9ttaltqtoqd5a7s","2021-01-04T00:30:44Z"
"spotify:track:4VginDwYTP2eaHJzO0QMjG","Circles","spotify:artist:246dkjvS1zLTtiykXe5h60","Post Malone","spotify:album:75n7rjlC1fxezRtoMQmtL5","Circles","spotify:artist:246dkjvS1zLTtiykXe5h60","Post Malone","2019-08-30","https://i.scdn.co/image/ab67616d0000b2732919189f53d1f4ca51ac0aa9","1","1","214906","","false","2","spotify:user:2sludgdyak9ttaltqtoqd5a7s","2021-01-04T00:30:44Z"
"spotify:track:5ijpy4l0nKZPIKHui6SQfE","Look Into My Eyes","spotify:artist:5uEeqYFuIChoWKy34jp8xE","Brando","spotify:album:7DnfkpW8qZvwrd5juFewce","Look Into My Eyes","spotify:artist:5uEeqYFuIChoWKy34jp8xE","Brando","2020-01-10","https://i.scdn.co/image/ab67616d0000b273cc7469284d2bd98c1edc0dfe","1","1","154653","","false","2","spotify:user:2sludgdyak9ttaltqtoqd5a7s","2021-01-04T00:30:44Z"
"spotify:track:2tnVG71enUj33Ic2nFN6kZ","Ride It","spotify:artist:4ofCBoyEiGSePFAG500xev","Regard","spotify:album:4zOhjJfe0dwqsNdDYk622E","Ride It","spotify:artist:4ofCBoyEiGSePFAG500xev","Regard","2019-07-26","https://i.scdn.co/image/ab67616d0000b2735c27813ae019011fcb370c78","1","1","157605","https://p.scdn.co/mp3-preview/2c4acac07bd693cb02d0ad8021d78b5854801e59?cid=9950ac751e34487dbbe027c4fd7f8e99","false","83","spotify:user:2sludgdyak9ttaltqtoqd5a7s","2021-01-04T00:30:44Z"
"spotify:track:3Dv1eDb0MEgF93GpLXlucZ","Say So","spotify:artist:5cj0lLjcoR7YOSnhnX0Po5","Doja Cat","spotify:album:1MmVkhiwTH0BkNOU3nw5d3","Hot Pink","spotify:artist:5cj0lLjcoR7YOSnhnX0Po5","Doja Cat","2019-11-07","https://i.scdn.co/image/ab67616d0000b27382b243023b937fd579a35533","1","5","237893","https://p.scdn.co/mp3-preview/e1c2abe7643fdfc34d550960033f4a600243d9ab?cid=9950ac751e34487dbbe027c4fd7f8e99","true","83","spotify:user:2sludgdyak9ttaltqtoqd5a7s","2021-01-04T00:30:44Z"
"spotify:track:5id3Rqn7SPj1LX4FfY4nGz","Together","spotify:artist:5WUlDfRSoLAfcVSX1WnrxN","Sia","spotify:album:4TM7wmWEakp4xk1ZffVkL8","Together","spotify:artist:5WUlDfRSoLAfcVSX1WnrxN","Sia","2020-05-20","https://i.scdn.co/image/ab67616d0000b273e279a8ea467c75ed400f812f","1","1","205207","https://p.scdn.co/mp3-preview/2e75e801877bf51f216cd1efe0935cdcbcd47d57?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","spotify:user:2sludgdyak9ttaltqtoqd5a7s","2021-01-04T00:30:44Z"
"spotify:track:364dI1bYnvamSnBJ8JcNzN","Intentions","spotify:artist:1uNFoZAHBGtllmzznpCI3s, spotify:artist:0VRj0yCOv2FXJNP47XQnx5","Justin Bieber, Quavo","spotify:album:55zg331p7m1EFA4uRggkwt","Intentions","spotify:artist:1uNFoZAHBGtllmzznpCI3s","Justin Bieber","2020-02-07","https://i.scdn.co/image/ab67616d0000b27308e30ab6a058429303d75876","1","1","212868","https://p.scdn.co/mp3-preview/ad97489d94e9376d16f6ead155af5d65b96899ce?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","spotify:user:2sludgdyak9ttaltqtoqd5a7s","2021-01-04T00:30:44Z"
"spotify:track:4nK5YrxbMGZstTLbvj6Gxw","Supalonely","spotify:artist:0Cp8WN4V8Tu4QJQwCN5Md4, spotify:artist:6sHCvZe1PHrOAuYlwTLNH4","BENEE, Gus Dapperton","spotify:album:3ZJSoxsPMkNC9eb6gUn0Q8","STELLA & STEVE","spotify:artist:0Cp8WN4V8Tu4QJQwCN5Md4","BENEE","2019-11-15","https://i.scdn.co/image/ab67616d0000b27382f4ec53c54bdd5be4eed4a0","1","2","223480","https://p.scdn.co/mp3-preview/9c4e5a78104ff0de630f353b1f774cedeab8dd76?cid=9950ac751e34487dbbe027c4fd7f8e99","true","76","spotify:user:2sludgdyak9ttaltqtoqd5a7s","2021-01-04T00:30:44Z"
"spotify:track:2b8fOow8UzyDFAE27YhOZM","Memories","spotify:artist:04gDigrS5kc9YWfZHwBETP","Maroon 5","spotify:album:3nR9B40hYLKLcR0Eph3Goc","Memories","spotify:artist:04gDigrS5kc9YWfZHwBETP","Maroon 5","2019-09-20","https://i.scdn.co/image/ab67616d0000b273b8c0135a218de2d10a8435f5","1","1","189486","https://p.scdn.co/mp3-preview/d7527c763d2a23c25299a886ad161ffaad6294e3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","spotify:user:2sludgdyak9ttaltqtoqd5a7s","2021-01-04T00:30:44Z"
"spotify:track:7CHi4DtfK4heMlQaudCuHK","Lose Control","spotify:artist:0xRXCcSX89eobfrshSVdyu, spotify:artist:4EPJlUEBy49EX1wuFOvtjK, spotify:artist:2nm38smINjms1LtczR0Cei","MEDUZA, Becky Hill, Goodboys","spotify:album:1qSOaTvsCOyFJya3v1UzkP","Lose Control","spotify:artist:0xRXCcSX89eobfrshSVdyu, spotify:artist:4EPJlUEBy49EX1wuFOvtjK, spotify:artist:2nm38smINjms1LtczR0Cei","MEDUZA, Becky Hill, Goodboys","2019-10-11","https://i.scdn.co/image/ab67616d0000b273d43c59e52d6a8032a4e27fc4","1","1","168387","https://p.scdn.co/mp3-preview/6ca18077b27a723744c67974a8917a719e2279f4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","spotify:user:2sludgdyak9ttaltqtoqd5a7s","2021-01-04T00:30:44Z"
"spotify:track:24Yi9hE78yPEbZ4kxyoXAI","Roses - Imanbek Remix","spotify:artist:0H39MdGGX6dbnnQPt6NQkZ, spotify:artist:5rGrDvrLOV2VV8SCFVGWlj","SAINt JHN, Imanbek","spotify:album:3GqSdhWjmMypMwPLtzoFYs","Roses (Imanbek Remix)","spotify:artist:0H39MdGGX6dbnnQPt6NQkZ, spotify:artist:5rGrDvrLOV2VV8SCFVGWlj","SAINt JHN, Imanbek","2019-10-09","https://i.scdn.co/image/ab67616d0000b273b340b496cb7c38d727ff40be","1","1","176840","https://p.scdn.co/mp3-preview/97bb46bf1d8c0f4085378c93a41bd885f2fe323f?cid=9950ac751e34487dbbe027c4fd7f8e99","true","83","spotify:user:2sludgdyak9ttaltqtoqd5a7s","2021-01-04T00:30:44Z"
"spotify:track:1xQ6trAsedVPCdbtDAmk0c","Savage Love (Laxed - Siren Beat)","spotify:artist:56mfhUDKa1vec6rSLZV5Eg, spotify:artist:07YZf4WDAMNwqr4jfgOZ8y","Jawsh 685, Jason Derulo","spotify:album:1XMw3pBrYeXzNXZXc84DNw","Savage Love (Laxed - Siren Beat)","spotify:artist:56mfhUDKa1vec6rSLZV5Eg, spotify:artist:07YZf4WDAMNwqr4jfgOZ8y","Jawsh 685, Jason Derulo","2020-06-11","https://i.scdn.co/image/ab67616d0000b273e3eb3b8feeafb746ecf659e7","1","1","171374","https://p.scdn.co/mp3-preview/d709526bcdffa6683f85c9255c2fd4e7871ba04c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","81","spotify:user:2sludgdyak9ttaltqtoqd5a7s","2021-01-04T00:30:44Z"
"spotify:track:4wosxLl0mAqhneDzya2MfY","Head & Heart (feat. MNEK)","spotify:artist:6DgP9otnZw5z6daOntINxp, spotify:artist:7uMh23xWiuR7zsNkuNcm2G","Joel Corry, MNEK","spotify:album:4w554Y1ts3lmzhn7hpfLBJ","Head & Heart (feat. MNEK)","spotify:artist:6DgP9otnZw5z6daOntINxp, spotify:artist:7uMh23xWiuR7zsNkuNcm2G","Joel Corry, MNEK","2020-07-03","https://i.scdn.co/image/ab67616d0000b273919ce7482816d9da17a77e3a","1","1","166028","https://p.scdn.co/mp3-preview/6b1769a6abda6a8120bdc4bf7ee9d718fc7cf3c2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","spotify:user:2sludgdyak9ttaltqtoqd5a7s","2021-01-04T00:30:44Z"
"spotify:track:1e9oZCCiX42nJl0AcqriVo","Watermelon Sugar","spotify:artist:6KImCVD70vtIoJWnq6nGn3","Harry Styles","spotify:album:659e2eKbsMH0vYCs5qgFmy","Watermelon Sugar","spotify:artist:6KImCVD70vtIoJWnq6nGn3","Harry Styles","2019-11-17","https://i.scdn.co/image/ab67616d0000b2737cf2b9825bb43083d123ac22","1","1","174000","https://p.scdn.co/mp3-preview/0c51b5f7ed852504844feebfb4f4b7f099452662?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","spotify:user:2sludgdyak9ttaltqtoqd5a7s","2021-01-04T00:30:44Z"
"spotify:track:2usxQITOSDqvkYiI0oIwao","You should be sad","spotify:artist:26VFTg2z8YR0cCuwLzESi2","Halsey","spotify:album:1gBDGPFz9v93dxE3fUU9eO","You should be sad","spotify:artist:26VFTg2z8YR0cCuwLzESi2","Halsey","2020-01-10","https://i.scdn.co/image/ab67616d0000b273ba41c65bc1a9b7b930dc15c4","1","1","205473","","true","0","spotify:user:2sludgdyak9ttaltqtoqd5a7s","2021-01-04T00:30:44Z"
"spotify:track:2grAr8pWMuLWn8ZYEE9wDV","Never Seen the Rain","spotify:artist:2NjfBq1NflQcKSeiDooVjY","Tones And I","spotify:album:1BYByciKxjYwhRSrWlEjWu","Never Seen the Rain","spotify:artist:2NjfBq1NflQcKSeiDooVjY","Tones And I","2019-07-15","https://i.scdn.co/image/ab67616d0000b273b3bb18369a24bad5cba321b0","1","1","200755","https://p.scdn.co/mp3-preview/fae7e8c10937e4a20e9f2dfe2d64ad2cedc1fa9e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","spotify:user:2sludgdyak9ttaltqtoqd5a7s","2021-01-04T00:30:44Z"
"spotify:track:0qc4QlcCxVTGyShurEv1UU","Post Malone (feat. RANI)","spotify:artist:20gsENnposVs2I4rQ5kvrf, spotify:artist:3SYnDj7btg9gFY7ps8m5d5","Sam Feldt, RANI","spotify:album:41S9bfzXTSGK4HU2mp5qXH","Magnets EP","spotify:artist:20gsENnposVs2I4rQ5kvrf","Sam Feldt","2019-05-24","https://i.scdn.co/image/ab67616d0000b27354de16ac6dc5346bfc1187f5","1","5","174444","https://p.scdn.co/mp3-preview/b74cd0ca94e2907bcd64827ba5208279f02a4064?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","spotify:user:2sludgdyak9ttaltqtoqd5a7s","2021-01-04T00:30:44Z"
"spotify:track:5px6upUHM3fhOP621Edp4V","Physical","spotify:artist:6M2wZ9GZgrQXHCFfjv46we","Dua Lipa","spotify:album:5Vzq1wKBUXMxEZl3NPjJpS","Physical","spotify:artist:6M2wZ9GZgrQXHCFfjv46we","Dua Lipa","2020-01-30","https://i.scdn.co/image/ab67616d0000b27313a6ef8345c14d2eeb2a37ef","1","1","193829","https://p.scdn.co/mp3-preview/2d8013cc528278684beb6a120c3655e3453d01ea?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","spotify:user:2sludgdyak9ttaltqtoqd5a7s","2021-01-04T00:30:44Z"
"spotify:track:2WmsRaMVqKzM78EtK0jBzu","Castles","spotify:artist:5pDjmC5mRl7vDJhsjVwNfk","Freya Ridings","spotify:album:4wRZUSFCtfQaZYNXJzKi2F","Freya Ridings","spotify:artist:5pDjmC5mRl7vDJhsjVwNfk","Freya Ridings","2019-07-19","https://i.scdn.co/image/ab67616d0000b273b6d7d61ba53a331216eeee15","1","3","211842","https://p.scdn.co/mp3-preview/9838ec08073f7fdd26c5ceab523fd4b64ba07840?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","spotify:user:2sludgdyak9ttaltqtoqd5a7s","2021-01-04T00:30:44Z"
"spotify:track:59qrUpoplZxbIZxk6X0Bm3","Take You Dancing","spotify:artist:07YZf4WDAMNwqr4jfgOZ8y","Jason Derulo","spotify:album:3II80i5KpS38r0QjNzu8ly","Take You Dancing","spotify:artist:07YZf4WDAMNwqr4jfgOZ8y","Jason Derulo","2020-07-22","https://i.scdn.co/image/ab67616d0000b27354eab2e4aa8b8706b6b526d2","1","1","190306","https://p.scdn.co/mp3-preview/a571ff5fe255c4a51a609afa67bafd821ea396bf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","spotify:user:2sludgdyak9ttaltqtoqd5a7s","2021-01-04T00:30:44Z"
"spotify:track:3eGmv9sxK60p8XIBLhBtC0","Everybody Rise","spotify:artist:2DORQjKJVYZMx9uu82UGtT","Amy Shark","spotify:album:116julihD6RXmoi525fLtU","Everybody Rise","spotify:artist:2DORQjKJVYZMx9uu82UGtT","Amy Shark","2020-06-18","https://i.scdn.co/image/ab67616d0000b2735488144ce2fa23bd91d4725f","1","1","190322","https://p.scdn.co/mp3-preview/b6c0e9663a6fcbce1943dcb1849f6c8790fbf688?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","spotify:user:2sludgdyak9ttaltqtoqd5a7s","2021-01-04T00:30:44Z"
"spotify:track:6ikDZX0oc8EKGj2vdMAEDv","Didn't I","spotify:artist:5Pwc4xIPtQLFEnJriah9YJ","OneRepublic","spotify:album:02ATSOBqF7ddYG1248wCgH","Didn't I","spotify:artist:5Pwc4xIPtQLFEnJriah9YJ","OneRepublic","2020-03-13","https://i.scdn.co/image/ab67616d0000b27308ac645145d2959e46ae2b7f","1","1","207616","https://p.scdn.co/mp3-preview/999eb7e11dfdb68de1f822b7960425f4c5a99331?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","spotify:user:2sludgdyak9ttaltqtoqd5a7s","2021-01-04T00:30:44Z"
"spotify:track:27ycaQnQAxaPiyeg3nr2aB","Midnight Sky","spotify:artist:5YGY8feqx7naU7z4HrwZM6","Miley Cyrus","spotify:album:7z5fmW3FDD6jlpJtwMXV51","Midnight Sky","spotify:artist:5YGY8feqx7naU7z4HrwZM6","Miley Cyrus","2020-08-14","https://i.scdn.co/image/ab67616d0000b273d59c3c489691c8b41043cab2","1","1","223279","https://p.scdn.co/mp3-preview/837e5649e915ca76f814a3923612703ed7fed29d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","spotify:user:2sludgdyak9ttaltqtoqd5a7s","2021-01-04T00:30:44Z"
"spotify:track:7MPyCqsJcpRaMYM1UTP2Y6","This City - Luca Schreiner Remix","spotify:artist:6L1XC7NrmgWRlwAeLJvVtA, spotify:artist:5fiYAV2DWASxAUKDq7Gbe9","Sam Fischer, Luca Schreiner","spotify:album:6yMrDicqghV06nlPxxJLLI","This City (Luca Schreiner Remix)","spotify:artist:6L1XC7NrmgWRlwAeLJvVtA, spotify:artist:5fiYAV2DWASxAUKDq7Gbe9","Sam Fischer, Luca Schreiner","2020-02-21","https://i.scdn.co/image/ab67616d0000b273fb4780a8e8c3fae6a2552860","1","1","176666","https://p.scdn.co/mp3-preview/5dae88de14012c8e2fe3911afc3b146edbc771ab?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","spotify:user:2sludgdyak9ttaltqtoqd5a7s","2021-01-04T00:30:44Z"
"spotify:track:7C1trmcQQ5n5RNy4l6ziCv","Some Say - Felix Jaehn Remix","spotify:artist:7nqlScm2smydSRl13eaP8E, spotify:artist:4bL2B6hmLlMWnUEZnorEtG","Nea, Felix Jaehn","spotify:album:3HE3e3QqmuhAsxcJGtxyEr","Some Say (Felix Jaehn Remix)","spotify:artist:7nqlScm2smydSRl13eaP8E, spotify:artist:4bL2B6hmLlMWnUEZnorEtG","Nea, Felix Jaehn","2020-01-10","https://i.scdn.co/image/ab67616d0000b27321ab644b278ea98399ae17c5","1","1","186878","https://p.scdn.co/mp3-preview/1f7976adf9dc5068b68f324c03d18b1e6a756284?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","spotify:user:2sludgdyak9ttaltqtoqd5a7s","2021-01-04T00:30:44Z"
"spotify:track:07Oz5StQ7GRoygNLaXs2pd","Good as Hell (feat. Ariana Grande) - Remix","spotify:artist:56oDRnqbIiwx4mymNEv7dS, spotify:artist:66CXWjxzNUsdJxJ2JdwvnR","Lizzo, Ariana Grande","spotify:album:1k1HuvFs562Z3CCiSYhtc1","Good as Hell (feat. Ariana Grande) [Remix]","spotify:artist:56oDRnqbIiwx4mymNEv7dS, spotify:artist:66CXWjxzNUsdJxJ2JdwvnR","Lizzo, Ariana Grande","2016","https://i.scdn.co/image/ab67616d0000b27383689afe01c228ceeef579c5","1","1","159011","https://p.scdn.co/mp3-preview/95a1c1a7a990490f1bd7d8d0645d3d4a38e08e22?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","spotify:user:2sludgdyak9ttaltqtoqd5a7s","2021-01-04T00:30:44Z"
"spotify:track:4HBZA5flZLE435QTztThqH","Stuck with U (with Justin Bieber)","spotify:artist:66CXWjxzNUsdJxJ2JdwvnR, spotify:artist:1uNFoZAHBGtllmzznpCI3s","Ariana Grande, Justin Bieber","spotify:album:5mUdh6YWnUvf0MfklEk1oi","Stuck with U","spotify:artist:66CXWjxzNUsdJxJ2JdwvnR, spotify:artist:1uNFoZAHBGtllmzznpCI3s","Ariana Grande, Justin Bieber","2020-05-08","https://i.scdn.co/image/ab67616d0000b2732babb9dbd8f5146112f1bf86","1","1","228482","https://p.scdn.co/mp3-preview/c1ed7687f4f0dc65cb8b0adb78420fa919a18250?cid=9950ac751e34487dbbe027c4fd7f8e99","false","84","spotify:user:2sludgdyak9ttaltqtoqd5a7s","2021-01-04T00:30:44Z"
"spotify:track:5NUXE8W12lWcUXgJRCjeEw","One Too Many","spotify:artist:0u2FHSq3ln94y5Q57xazwf, spotify:artist:1KCSPY1glIKqW2TotWuXOR","Keith Urban, P!nk","spotify:album:5j5ngp5GBH7zW3RhHljRK9","One Too Many","spotify:artist:0u2FHSq3ln94y5Q57xazwf, spotify:artist:1KCSPY1glIKqW2TotWuXOR","Keith Urban, P!nk","2020-09-16","https://i.scdn.co/image/ab67616d0000b273f2a428f109f825ec22c64656","1","1","203893","https://p.scdn.co/mp3-preview/4865aea5b180fc051ad7412706580775c290df50?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","spotify:user:2sludgdyak9ttaltqtoqd5a7s","2021-01-04T00:30:44Z"
"spotify:track:3Be7CLdHZpyzsVijme39cW","What's Love Got to Do with It","spotify:artist:23fqKkggKUBHNkbKtXEls4, spotify:artist:1zuJe6b1roixEKMOtyrEak","Kygo, Tina Turner","spotify:album:1JFKchcdu3ewuhA5PIHWno","What's Love Got to Do with It","spotify:artist:23fqKkggKUBHNkbKtXEls4, spotify:artist:1zuJe6b1roixEKMOtyrEak","Kygo, Tina Turner","2020-07-17","https://i.scdn.co/image/ab67616d0000b273f0b43fee481f279a186dff20","1","1","208156","https://p.scdn.co/mp3-preview/0428df28c6aad28a78a37febc266803a5be35fc4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","spotify:user:2sludgdyak9ttaltqtoqd5a7s","2021-01-04T00:30:44Z"
"spotify:track:7hpJ9tATWb2vztlq99hERP","Maniac","spotify:artist:4Uc8Dsxct0oMqx0P6i60ea","Conan Gray","spotify:album:4x1U4pmSekLejbWCRI0SES","Maniac","spotify:artist:4Uc8Dsxct0oMqx0P6i60ea","Conan Gray","2019-10-25","https://i.scdn.co/image/ab67616d0000b273a36e01a0b336a84abe5d86d8","1","1","185786","https://p.scdn.co/mp3-preview/16df5abd911c7d38cb70670e4c3406858e05be3a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","spotify:user:2sludgdyak9ttaltqtoqd5a7s","2021-01-04T00:30:44Z"
"spotify:track:73QEvtBq1fNbMnlhQSFV9M","Bad Child","spotify:artist:2NjfBq1NflQcKSeiDooVjY","Tones And I","spotify:album:2WSnuau1j8jGUrrCvRo8rK","Bad Child / Can't Be Happy All the Time","spotify:artist:2NjfBq1NflQcKSeiDooVjY","Tones And I","2020-03-12","https://i.scdn.co/image/ab67616d0000b2733f977d08405e2c034b7c5fe4","1","1","221466","https://p.scdn.co/mp3-preview/a2098437767a84e735ab7ef4a451d73ac0d84616?cid=9950ac751e34487dbbe027c4fd7f8e99","true","52","spotify:user:2sludgdyak9ttaltqtoqd5a7s","2021-01-04T00:30:44Z"
"spotify:track:2kJu14V7hbZw3I4K8L8SXb","Stupid Love","spotify:artist:1HY2Jd0NmPuamShAr6KMms","Lady Gaga","spotify:album:2HDW1EX8IBI3jqobswAfrZ","Stupid Love","spotify:artist:1HY2Jd0NmPuamShAr6KMms","Lady Gaga","2020-02-28","https://i.scdn.co/image/ab67616d0000b273f80f544565b410d292349893","1","1","193530","https://p.scdn.co/mp3-preview/07dcafd773b369062c61807ea0b1378d3750b1d7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","spotify:user:2sludgdyak9ttaltqtoqd5a7s","2021-01-04T00:30:44Z"
"spotify:track:5u1n1kITHCxxp8twBcZxWy","Holy (feat. Chance The Rapper)","spotify:artist:1uNFoZAHBGtllmzznpCI3s, spotify:artist:1anyVhU62p31KFi8MEzkbf","Justin Bieber, Chance the Rapper","spotify:album:4hR7jjsPvRwwcHx8ntJSQS","Holy","spotify:artist:1uNFoZAHBGtllmzznpCI3s, spotify:artist:1anyVhU62p31KFi8MEzkbf","Justin Bieber, Chance the Rapper","2020-09-18","https://i.scdn.co/image/ab67616d0000b273572c68f79b356c21202e248c","1","1","212093","https://p.scdn.co/mp3-preview/beb1ac2c4126da7b23f1e47069e541090e5e6637?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","spotify:user:2sludgdyak9ttaltqtoqd5a7s","2021-01-04T00:30:44Z"
